Sample number,Initial number of cells,Number of cells surviving
38078,67,26
38079,34,8
38080,24,6
38081,59,10
38082,92,22
38083,90,17
38084,24,3
38085,92,18
38086,99,17
38087,54,8
38088,78,23
38089,40,8
38090,35,9
38091,38,8
38092,92,23
38093,32,2
38094,41,7
38095,75,12
38096,21,4
38097,48,7
38098,23,5
38099,27,5
38100,62,8
38101,23,2
38102,46,9
38103,57,12
38104,36,11
38105,62,11
38106,63,14
38107,81,11
38108,42,9
38109,74,12
38110,96,17
38111,45,6
38112,45,10
38113,48,8
38114,41,8
38115,19,4
38116,15,2
38117,80,14
38118,99,19
38119,23,2
38120,44,11
38121,98,24
38122,70,10
38123,77,18
38124,99,21
38125,56,12
38126,90,20
38127,22,5
38128,51,11
38129,77,13
38130,90,22
38131,26,6
38132,77,17
38133,28,7
38134,16,2
38135,33,5
38136,63,11
38137,26,8
38138,15,2
38139,81,12
38140,63,14
38141,26,4
38142,73,12
38143,60,14
38144,73,11
38145,78,18
38146,58,16
38147,53,8
38148,21,5
38149,86,25
38150,36,8
38151,65,20
38152,38,8
38153,99,22
38154,27,3
38155,76,13
38156,100,18
38157,13,2
38158,60,16
38159,80,17
38160,74,20
38161,23,6
38162,50,13
38163,90,17
38164,89,19
38165,75,14
38166,53,12
38167,34,7
38168,74,14
38169,96,23
38170,72,5
38171,53,9
38172,94,30
38173,18,3
38174,42,5
38175,67,20
38176,23,1
38177,35,3
38178,51,13
38179,15,3
38180,66,5
38181,23,3
38182,59,12
38183,58,14
38184,61,10
38185,82,21
38186,85,15
38187,56,15
38188,81,12
38189,69,19
38190,33,3
38191,29,4
38192,83,22
38193,11,2
38194,35,6
38195,84,17
38196,42,12
38197,41,6
38198,100,21
38199,47,11
38200,19,3
38201,28,4
38202,20,3
38203,67,18
38204,51,8
38205,98,24
38206,83,15
38207,48,9
38208,89,18
38209,11,3
38210,90,16
38211,68,10
38212,46,12
38213,82,15
38214,39,5
38215,69,19
38216,14,4
38217,24,6
38218,95,26
38219,36,10
38220,27,5
38221,20,5
38222,12,2
38223,94,14
38224,76,17
38225,10,3
38226,69,17
38227,93,24
38228,27,3
38229,80,17
38230,12,4
38231,21,5
38232,86,17
38233,15,2
38234,96,12
38235,85,16
38236,93,19
38237,38,8
38238,16,1
38239,85,18
38240,65,9
38241,100,17
38242,67,12
38243,73,16
38244,12,2
38245,19,2
38246,10,4
38247,23,5
38248,12,6
38249,55,16
38250,83,15
38251,19,5
38252,31,7
38253,27,4
38254,97,18
38255,69,12
38256,81,10
38257,52,8
38258,86,12
38259,54,10
38260,98,24
38261,38,6
38262,85,15
38263,55,12
38264,99,19
38265,98,20
38266,31,9
38267,42,9
38268,25,7
38269,41,8
38270,81,16
38271,23,5
38272,28,3
38273,16,4
38274,79,18
38275,20,0
38276,92,19
38277,32,3
38278,80,15
38279,49,10
38280,15,2
38281,72,10
38282,86,12
38283,57,13
38284,53,13
38285,76,16
38286,36,7
38287,87,19
38288,65,14
38289,86,22
38290,32,5
38291,12,3
38292,62,11
38293,19,6
38294,71,16
38295,23,6
38296,21,2
38297,85,15
38298,40,6
38299,10,2
38300,35,5
38301,83,20
38302,17,3
38303,27,5
38304,81,21
38305,59,15
38306,59,10
38307,21,5
38308,35,6
38309,62,15
38310,85,19
38311,29,6
38312,54,10
38313,31,3
38314,66,7
38315,90,19
38316,53,12
38317,92,19
38318,36,7
38319,67,9
38320,23,5
38321,83,14
38322,46,11
38323,37,3
38324,14,3
38325,58,13
38326,14,3
38327,75,9
38328,49,8
38329,44,12
38330,50,8
38331,59,12
38332,19,8
38333,10,4
38334,46,3
38335,40,8
38336,23,4
38337,35,9
38338,89,18
38339,84,19
38340,41,5
38341,44,11
38342,75,11
38343,54,11
38344,26,3
38345,75,16
38346,93,22
38347,95,21
38348,37,6
38349,75,18
38350,10,2
38351,47,7
38352,37,5
38353,59,13
38354,57,13
38355,15,3
38356,27,7
38357,78,20
38358,66,12
38359,19,4
38360,83,18
38361,79,16
38362,44,12
38363,31,8
38364,89,20
38365,57,8
38366,48,9
38367,54,14
38368,78,21
38369,100,14
38370,71,12
38371,16,4
38372,79,18
38373,22,2
38374,41,4
38375,51,9
38376,66,14
38377,79,12
38378,98,23
38379,85,10
38380,20,4
38381,10,1
38382,30,7
38383,26,6
38384,84,19
38385,64,12
38386,59,13
38387,59,11
38388,64,16
38389,57,7
38390,30,4
38391,89,25
38392,83,18
38393,73,12
38394,38,11
38395,87,13
38396,82,15
38397,24,4
38398,93,14
38399,76,18
38400,38,12
38401,95,20
38402,27,4
38403,85,15
38404,39,11
38405,96,20
38406,100,15
38407,86,19
38408,92,24
38409,96,17
38410,21,4
38411,30,8
38412,58,10
38413,27,5
38414,35,8
38415,77,19
38416,73,11
38417,59,11
38418,73,10
38419,32,7
38420,77,15
38421,15,3
38422,91,17
38423,99,18
38424,19,5
38425,73,20
38426,71,20
38427,45,6
38428,12,3
38429,42,9
38430,11,5
38431,54,8
38432,65,7
38433,57,10
38434,99,16
38435,65,14
38436,67,12
38437,57,12
38438,16,3
38439,27,6
38440,27,2
38441,45,8
38442,60,13
38443,20,4
38444,82,22
38445,21,4
38446,63,14
38447,56,13
38448,90,19
38449,45,9
38450,48,8
38451,69,9
38452,36,6
38453,70,13
38454,91,18
38455,19,6
38456,14,1
38457,91,21
38458,48,13
38459,99,20
38460,29,1
38461,34,11
38462,60,15
38463,73,16
38464,57,11
38465,82,13
38466,80,18
38467,26,3
38468,35,9
38469,97,24
38470,100,28
38471,87,17
38472,15,3
38473,26,4
38474,46,8
38475,18,4
38476,15,5
38477,78,14
38478,77,15
38479,17,4
38480,68,20
38481,81,15
38482,17,4
38483,25,2
38484,29,4
38485,73,16
38486,33,4
38487,64,14
38488,91,20
38489,94,23
38490,12,3
38491,12,1
38492,29,4
38493,47,12
38494,94,13
38495,22,5
38496,62,15
38497,64,13
38498,28,6
38499,47,14
38500,40,6
38501,90,14
38502,26,5
38503,21,6
38504,16,3
38505,28,6
38506,97,17
38507,91,20
38508,32,10
38509,90,16
38510,29,6
38511,52,8
38512,71,11
38513,56,11
38514,74,11
38515,31,14
38516,90,26
38517,59,10
38518,62,10
38519,78,17
38520,22,6
38521,96,18
38522,71,11
38523,97,18
38524,92,19
38525,29,3
38526,79,17
38527,73,17
38528,86,19
38529,93,10
38530,69,16
38531,66,10
38532,69,12
38533,65,12
38534,60,12
38535,22,2
38536,76,19
38537,56,10
38538,95,26
38539,69,13
38540,85,20
38541,47,7
38542,45,9
38543,78,11
38544,77,17
38545,35,10
38546,29,4
38547,38,8
38548,66,10
38549,55,11
38550,81,17
38551,82,13
38552,64,9
38553,85,15
38554,33,7
38555,16,2
38556,38,8
38557,92,16
38558,24,6
38559,31,6
38560,100,26
38561,85,16
38562,93,16
38563,43,11
38564,33,6
38565,44,10
38566,27,8
38567,61,10
38568,64,16
38569,53,6
38570,22,7
38571,42,9
38572,90,23
38573,60,17
38574,15,5
38575,66,19
38576,99,24
38577,47,9
38578,63,14
38579,81,11
38580,21,4
38581,91,22
38582,40,10
38583,77,12
38584,49,10
38585,53,7
38586,99,13
38587,35,9
38588,91,25
38589,31,7
38590,47,4
38591,18,3
38592,99,17
38593,19,2
38594,94,22
38595,55,16
38596,63,16
38597,14,7
38598,99,23
38599,72,13
38600,80,23
38601,51,10
38602,23,5
38603,24,8
38604,89,17
38605,42,8
38606,81,16
38607,37,6
38608,90,12
38609,72,23
38610,53,12
38611,50,12
38612,29,3
38613,48,15
38614,84,14
38615,83,13
38616,21,3
38617,10,1
38618,94,18
38619,29,6
38620,69,13
38621,29,7
38622,94,23
38623,86,14
38624,77,15
38625,89,21
38626,78,12
38627,36,6
38628,26,6
38629,59,9
38630,84,13
38631,52,14
38632,34,10
38633,42,7
38634,98,19
38635,39,2
38636,69,10
38637,56,10
38638,93,17
38639,77,9
38640,82,13
38641,56,8
38642,32,3
38643,18,5
38644,97,21
38645,38,4
38646,76,13
38647,14,0
38648,81,16
38649,15,3
38650,46,11
38651,49,9
38652,86,20
38653,81,9
38654,88,20
38655,58,9
38656,21,4
38657,33,11
38658,57,10
38659,36,7
38660,27,5
38661,95,17
38662,69,16
38663,41,9
38664,14,2
38665,54,10
38666,21,8
38667,73,15
38668,80,17
38669,11,3
38670,93,18
38671,25,6
38672,93,20
38673,29,6
38674,56,17
38675,26,7
38676,99,16
38677,100,16
38678,98,22
38679,90,17
38680,17,4
38681,100,19
38682,26,4
38683,84,17
38684,86,18
38685,95,23
38686,15,3
38687,72,15
38688,63,18
38689,99,24
38690,79,17
38691,71,22
38692,59,10
38693,50,11
38694,62,15
38695,92,23
38696,81,9
38697,83,14
38698,65,14
38699,94,16
38700,93,24
38701,60,12
38702,38,3
38703,79,18
38704,71,9
38705,36,6
38706,12,1
38707,81,16
38708,78,15
38709,70,16
38710,34,6
38711,27,8
38712,13,2
38713,86,15
38714,26,8
38715,38,6
38716,23,4
38717,20,4
38718,60,14
38719,78,11
38720,36,6
38721,59,14
38722,92,14
38723,60,15
38724,51,12
38725,65,10
38726,76,11
38727,35,10
38728,89,20
38729,41,12
38730,42,12
38731,39,3
38732,42,4
38733,75,21
38734,64,11
38735,62,11
38736,59,8
38737,72,11
38738,80,12
38739,78,18
38740,79,10
38741,60,15
38742,98,18
38743,48,15
38744,90,17
38745,54,14
38746,27,3
38747,31,3
38748,60,16
38749,81,20
38750,83,15
38751,58,12
38752,34,6
38753,77,12
38754,27,4
38755,50,14
38756,67,11
38757,62,16
38758,67,15
38759,66,14
38760,22,7
38761,84,13
38762,100,22
38763,29,5
38764,59,12
38765,59,11
38766,86,14
38767,59,14
38768,28,6
38769,66,13
38770,77,13
38771,28,5
38772,38,8
38773,46,6
38774,76,18
38775,78,17
38776,44,8
38777,98,21
38778,52,5
38779,58,16
38780,68,20
38781,60,10
38782,15,2
38783,100,20
38784,71,9
38785,49,11
38786,78,9
38787,96,14
38788,13,5
38789,22,3
38790,51,12
38791,20,6
38792,56,10
38793,63,9
38794,36,14
38795,88,18
38796,80,20
38797,38,11
38798,37,10
38799,38,12
38800,89,14
38801,98,16
38802,18,4
38803,31,5
38804,82,18
38805,78,15
38806,98,20
38807,57,7
38808,25,3
38809,24,5
38810,68,17
38811,59,14
38812,37,9
38813,60,10
38814,37,7
38815,88,18
38816,40,8
38817,55,15
38818,49,9
38819,92,20
38820,11,1
38821,63,12
38822,89,20
38823,81,18
38824,51,13
38825,53,13
38826,19,7
38827,70,14
38828,64,15
38829,52,5
38830,63,14
38831,76,16
38832,72,15
38833,23,6
38834,70,12
38835,57,12
38836,84,20
38837,75,9
38838,57,8
38839,85,11
38840,18,4
38841,68,9
38842,32,7
38843,95,15
38844,87,17
38845,12,3
38846,73,9
38847,34,6
38848,52,14
38849,90,21
38850,57,14
38851,52,17
38852,62,13
38853,37,10
38854,27,5
38855,65,16
38856,77,14
38857,80,18
38858,56,10
38859,34,4
38860,36,7
38861,99,12
38862,25,7
38863,54,15
38864,96,22
38865,16,5
38866,84,15
38867,30,4
38868,96,20
38869,14,1
38870,90,19
38871,78,17
38872,21,5
38873,19,3
38874,38,11
38875,75,17
38876,21,8
38877,71,14
38878,36,9
38879,58,18
38880,71,18
38881,36,4
38882,15,4
38883,65,11
38884,86,21
38885,89,26
38886,40,9
38887,64,14
38888,38,14
38889,33,6
38890,14,3
38891,68,10
38892,71,11
38893,59,9
38894,37,11
38895,69,15
38896,20,5
38897,51,12
38898,92,18
38899,92,14
38900,12,0
38901,37,7
38902,89,19
38903,12,0
38904,50,17
38905,12,3
38906,19,0
38907,56,5
38908,94,19
38909,73,15
38910,53,11
38911,14,5
38912,35,9
38913,27,7
38914,87,16
38915,92,22
38916,91,20
38917,27,9
38918,20,5
38919,42,9
38920,68,18
38921,100,25
38922,34,7
38923,62,10
38924,57,5
38925,67,12
38926,38,6
38927,42,10
38928,46,7
38929,49,7
38930,86,23
38931,65,7
38932,73,14
38933,37,8
38934,40,7
38935,98,22
38936,67,19
38937,90,16
38938,14,1
38939,39,7
38940,12,1
38941,43,8
38942,85,15
38943,26,6
38944,95,22
38945,94,15
38946,68,16
38947,67,12
38948,98,17
38949,62,22
38950,45,9
38951,18,2
38952,19,4
38953,79,19
38954,81,23
38955,97,15
38956,45,10
38957,25,9
38958,93,22
38959,21,1
38960,54,12
38961,50,5
38962,51,9
38963,20,3
38964,50,14
38965,30,5
38966,38,8
38967,97,23
38968,27,6
38969,32,7
38970,17,3
38971,78,17
38972,78,12
38973,24,5
38974,17,5
38975,19,4
38976,48,7
38977,46,11
38978,59,13
38979,98,23
38980,44,9
38981,32,7
38982,37,10
38983,34,10
38984,53,10
38985,90,15
38986,41,9
38987,28,5
38988,29,6
38989,41,6
38990,77,16
38991,79,17
38992,81,18
38993,77,13
38994,50,8
38995,59,12
38996,50,6
38997,17,5
38998,38,4
38999,51,10
39000,84,23
39001,67,12
39002,30,6
39003,97,16
39004,18,5
39005,13,4
39006,28,4
39007,98,12
39008,48,13
39009,33,5
39010,48,7
39011,72,13
39012,52,12
39013,96,19
39014,19,2
39015,22,8
39016,62,12
39017,21,3
39018,81,10
39019,21,1
39020,54,10
39021,33,4
39022,84,22
39023,21,5
39024,94,14
39025,12,1
39026,14,1
39027,23,4
39028,22,5
39029,21,3
39030,44,9
39031,59,6
39032,68,15
39033,19,1
39034,24,5
39035,60,8
39036,49,13
39037,86,14
39038,17,4
39039,49,11
39040,14,3
39041,37,8
39042,52,14
39043,72,17
39044,34,9
39045,94,22
39046,91,21
39047,11,1
39048,69,12
39049,70,17
39050,71,9
39051,54,10
39052,21,6
39053,77,18
39054,36,9
39055,49,8
39056,62,18
39057,39,5
39058,54,9
39059,64,15
39060,37,6
39061,99,17
39062,37,10
39063,28,7
39064,33,9
39065,81,23
39066,10,2
39067,89,15
39068,68,16
39069,46,5
39070,33,5
39071,40,7
39072,25,5
39073,95,21
39074,65,9
39075,43,9
39076,77,10
39077,78,14
39078,95,22
39079,75,17
39080,97,10
39081,60,15
39082,28,7
39083,100,15
39084,88,14
39085,27,6
39086,44,9
39087,65,10
39088,33,3
39089,63,11
39090,81,19
39091,30,4
39092,53,11
39093,90,9
39094,14,2
39095,57,13
39096,70,14
39097,12,3
39098,11,1
39099,62,14
39100,62,16
39101,51,7
39102,54,8
39103,68,12
39104,19,4
39105,93,13
39106,11,1
39107,19,2
39108,78,16
39109,19,4
39110,81,19
39111,86,11
39112,88,17
39113,38,3
39114,82,15
39115,61,16
39116,67,15
39117,25,4
39118,56,10
39119,99,18
39120,28,2
39121,79,19
39122,70,10
39123,35,4
39124,100,19
39125,90,16
39126,86,18
39127,30,4
39128,61,8
39129,50,16
39130,42,6
39131,31,6
39132,90,23
39133,71,12
39134,77,21
39135,65,15
39136,11,2
39137,37,9
39138,54,11
39139,17,3
39140,27,9
39141,48,11
39142,35,6
39143,71,13
39144,27,5
39145,78,17
39146,74,9
39147,44,14
39148,65,11
39149,31,9
39150,90,23
39151,67,9
39152,23,4
39153,16,3
39154,85,14
39155,66,9
39156,49,13
39157,25,2
39158,74,22
39159,60,13
39160,88,12
39161,16,8
39162,21,3
39163,65,12
39164,37,4
39165,79,18
39166,51,10
39167,78,13
39168,99,22
39169,23,6
39170,26,6
39171,53,7
39172,77,9
39173,100,19
39174,13,2
39175,84,8
39176,88,10
39177,41,11
39178,61,13
39179,84,12
39180,61,12
39181,58,9
39182,89,15
39183,67,15
39184,51,14
39185,45,6
39186,41,6
39187,86,14
39188,74,19
39189,89,24
39190,56,15
39191,16,4
39192,84,21
39193,72,19
39194,23,3
39195,36,9
39196,21,9
39197,74,12
39198,31,9
39199,79,20
39200,48,8
39201,95,13
39202,37,2
39203,48,8
39204,74,15
39205,29,7
39206,27,2
39207,83,22
39208,89,16
39209,38,10
39210,29,5
39211,80,18
39212,54,7
39213,52,11
39214,28,5
39215,72,18
39216,48,11
39217,82,11
39218,94,12
39219,69,19
39220,50,7
39221,66,11
39222,49,16
39223,62,5
39224,21,5
39225,98,20
39226,16,2
39227,14,6
39228,74,18
39229,59,12
39230,15,1
39231,24,3
39232,28,2
39233,10,1
39234,94,23
39235,35,4
39236,54,8
39237,75,17
39238,86,20
39239,63,5
39240,67,8
39241,29,8
39242,15,4
39243,100,25
39244,90,22
39245,66,10
39246,54,13
39247,51,6
39248,41,5
39249,28,3
39250,72,14
39251,77,10
39252,19,5
39253,68,18
39254,43,10
39255,84,13
39256,84,12
39257,44,10
39258,94,15
39259,32,14
39260,37,11
39261,72,13
39262,74,17
39263,43,6
39264,14,1
39265,63,12
39266,41,8
39267,80,12
39268,37,7
39269,97,21
39270,24,5
39271,60,8
39272,31,5
39273,62,14
39274,29,6
39275,59,15
39276,45,7
39277,83,18
39278,25,3
39279,61,15
39280,71,14
39281,22,7
39282,64,10
39283,82,13
39284,72,13
39285,91,23
39286,88,10
39287,15,2
39288,18,6
39289,93,20
39290,98,21
39291,15,1
39292,75,20
39293,12,4
39294,84,15
39295,28,2
39296,72,14
39297,16,5
39298,49,8
39299,91,17
39300,26,7
39301,95,24
39302,48,9
39303,19,3
39304,85,15
39305,11,1
39306,86,22
39307,98,17
39308,81,19
39309,43,10
39310,57,13
39311,78,17
39312,16,1
39313,90,23
39314,17,2
39315,88,17
39316,88,22
39317,86,9
39318,18,7
39319,28,4
39320,69,16
39321,45,9
39322,28,6
39323,75,16
39324,19,5
39325,99,16
39326,58,13
39327,12,2
39328,87,16
39329,45,12
39330,32,8
39331,39,9
39332,27,10
39333,61,11
39334,39,10
39335,78,11
39336,47,7
39337,17,4
39338,18,2
39339,47,13
39340,31,8
39341,32,10
39342,79,20
39343,41,9
39344,53,8
39345,51,8
39346,64,15
39347,88,19
39348,49,10
39349,13,2
39350,27,7
39351,64,11
39352,54,9
39353,80,23
39354,22,3
39355,56,8
39356,68,13
39357,92,21
39358,92,23
39359,58,16
39360,72,12
39361,96,17
39362,36,6
39363,39,9
39364,56,10
39365,17,2
39366,13,3
39367,33,9
39368,46,10
39369,53,9
39370,34,6
39371,19,8
39372,94,18
39373,96,27
39374,25,7
39375,46,7
39376,87,15
39377,21,4
39378,11,2
39379,92,16
39380,41,10
39381,15,3
39382,99,20
39383,70,8
39384,36,10
39385,66,12
39386,64,14
39387,16,2
39388,75,11
39389,75,14
39390,14,7
39391,46,11
39392,72,11
39393,12,4
39394,36,6
39395,16,4
39396,45,8
39397,34,7
39398,51,13
39399,96,21
39400,34,9
39401,14,2
39402,60,15
39403,16,4
39404,10,3
39405,43,8
39406,88,19
39407,47,10
39408,35,6
39409,50,12
39410,72,14
39411,33,7
39412,92,22
39413,39,6
39414,81,12
39415,80,14
39416,63,16
39417,30,5
39418,96,16
39419,74,20
39420,44,14
39421,87,19
39422,10,1
39423,42,15
39424,45,9
39425,74,18
39426,74,25
39427,60,8
39428,32,4
39429,81,13
39430,87,15
39431,51,11
39432,22,3
39433,32,3
39434,56,12
39435,68,14
39436,33,8
39437,46,14
39438,59,12
39439,50,9
39440,99,23
39441,95,22
39442,25,7
39443,73,13
39444,16,5
39445,73,19
39446,28,4
39447,34,10
39448,83,17
39449,23,3
39450,94,22
39451,28,6
39452,45,12
39453,33,8
39454,97,18
39455,75,15
39456,55,14
39457,64,18
39458,29,6
39459,54,7
39460,89,16
39461,64,14
39462,57,5
39463,72,11
39464,46,7
39465,48,8
39466,95,28
39467,18,5
39468,44,8
39469,69,19
39470,37,9
39471,87,14
39472,96,24
39473,47,5
39474,95,14
39475,93,13
39476,98,21
39477,66,8
39478,42,8
39479,37,6
39480,93,18
39481,94,15
39482,25,1
39483,76,15
39484,27,4
39485,85,18
39486,12,4
39487,12,3
39488,76,20
39489,34,6
39490,42,4
39491,50,7
39492,88,20
39493,53,7
39494,69,10
39495,73,10
39496,29,4
39497,36,9
39498,33,5
39499,40,9
39500,60,8
39501,96,19
39502,54,11
39503,83,22
39504,98,20
39505,67,10
39506,45,12
39507,30,3
39508,99,13
39509,36,11
39510,89,21
39511,82,6
39512,29,4
39513,92,28
39514,83,22
39515,69,18
39516,27,3
39517,59,14
39518,89,15
39519,64,6
39520,41,7
39521,28,5
39522,98,26
39523,88,7
39524,56,15
39525,98,9
39526,85,20
39527,18,4
39528,19,4
39529,46,11
39530,11,4
39531,15,2
39532,71,14
39533,12,0
39534,30,4
39535,88,17
39536,90,11
39537,43,6
39538,14,3
39539,43,9
39540,84,18
39541,40,16
39542,35,5
39543,22,2
39544,25,7
39545,34,8
39546,99,20
39547,97,21
39548,55,10
39549,91,17
39550,24,5
39551,56,14
39552,18,5
39553,44,10
39554,23,4
39555,18,3
39556,79,11
39557,57,8
39558,81,14
39559,12,4
39560,59,6
39561,60,15
39562,100,15
39563,92,19
39564,84,16
39565,27,5
39566,53,11
39567,31,6
39568,46,13
39569,79,16
39570,91,13
39571,32,11
39572,93,17
39573,16,2
39574,35,7
39575,39,9
39576,53,10
39577,12,2
39578,97,23
39579,86,10
39580,82,17
39581,94,23
39582,85,20
39583,21,5
39584,55,12
39585,91,22
39586,12,2
39587,69,12
39588,80,17
39589,90,22
39590,69,9
39591,98,20
39592,48,8
39593,13,3
39594,11,3
39595,17,3
39596,58,12
39597,87,10
39598,19,5
39599,94,27
39600,79,14
39601,49,6
39602,44,9
39603,42,11
39604,30,4
39605,25,2
39606,56,12
39607,77,14
39608,19,2
39609,38,6
39610,30,8
39611,47,11
39612,92,20
39613,56,6
39614,67,16
39615,13,1
39616,47,8
39617,26,8
39618,34,9
39619,44,8
39620,89,19
39621,78,19
39622,50,16
39623,53,7
39624,26,2
39625,47,13
39626,52,10
39627,87,19
39628,88,17
39629,91,25
39630,40,4
39631,10,1
39632,51,7
39633,80,19
39634,53,10
39635,54,15
39636,27,3
39637,50,7
39638,84,10
39639,59,7
39640,64,11
39641,86,12
39642,70,15
39643,13,3
39644,88,11
39645,53,18
39646,83,15
39647,74,12
39648,65,16
39649,55,8
39650,97,24
39651,67,22
39652,90,28
39653,36,6
39654,72,14
39655,27,5
39656,72,15
39657,66,8
39658,90,17
39659,28,6
39660,12,1
39661,49,10
39662,37,6
39663,74,18
39664,85,17
39665,15,2
39666,93,16
39667,38,11
39668,84,18
39669,100,23
39670,42,9
39671,54,9
39672,96,21
39673,47,11
39674,39,10
39675,46,13
39676,80,16
39677,37,12
39678,38,10
39679,74,14
39680,12,3
39681,21,4
39682,70,15
39683,43,4
39684,41,10
39685,16,4
39686,67,18
39687,95,19
39688,99,29
39689,26,8
39690,63,14
39691,26,3
39692,20,3
39693,79,20
39694,37,8
39695,75,11
39696,79,14
39697,66,13
39698,52,13
39699,87,16
39700,81,18
39701,35,3
39702,68,16
39703,66,10
39704,36,7
39705,23,7
39706,62,11
39707,84,19
39708,37,7
39709,68,12
39710,37,6
39711,65,16
39712,17,6
39713,65,14
39714,72,15
39715,35,10
39716,26,5
39717,12,4
39718,90,22
39719,76,15
39720,78,22
39721,96,21
39722,70,8
39723,12,1
39724,88,9
39725,49,12
39726,10,5
39727,34,7
39728,87,18
39729,13,3
39730,50,9
39731,73,14
39732,28,4
39733,98,21
39734,77,16
39735,43,7
39736,19,5
39737,79,18
39738,37,6
39739,77,14
39740,71,9
39741,60,12
39742,74,12
39743,76,17
39744,35,6
39745,89,16
39746,17,6
39747,41,8
39748,34,9
39749,79,20
39750,32,5
39751,61,13
39752,23,8
39753,52,19
39754,62,10
39755,50,10
39756,82,18
39757,34,10
39758,64,7
39759,56,14
39760,100,19
39761,96,22
39762,20,3
39763,79,14
39764,81,19
39765,86,19
39766,33,5
39767,58,12
39768,47,6
39769,20,5
39770,75,11
39771,36,7
39772,74,15
39773,77,10
39774,43,13
39775,56,8
39776,100,21
39777,62,8
39778,56,10
39779,50,10
39780,82,15
39781,61,12
39782,17,3
39783,68,11
39784,66,17
39785,80,21
39786,80,19
39787,93,18
39788,55,15
39789,75,19
39790,93,11
39791,64,18
39792,90,23
39793,22,6
39794,41,11
39795,22,2
39796,36,6
39797,34,10
39798,91,13
39799,29,2
39800,91,17
39801,45,12
39802,33,10
39803,72,15
39804,84,16
39805,66,9
39806,99,21
39807,86,16
39808,93,19
39809,29,7
39810,60,13
39811,59,11
39812,80,15
39813,39,9
39814,85,18
39815,43,8
39816,94,22
39817,39,4
39818,72,16
39819,73,9
39820,82,13
39821,19,3
39822,100,16
39823,92,21
39824,51,6
39825,21,4
39826,62,14
39827,89,14
39828,11,2
39829,32,3
39830,70,13
39831,28,4
39832,82,19
39833,95,9
39834,35,7
39835,55,12
39836,72,11
39837,36,8
39838,63,15
39839,66,10
39840,11,3
39841,10,1
39842,77,18
39843,46,9
39844,91,15
39845,100,18
39846,37,9
39847,30,5
39848,56,8
39849,79,9
39850,15,1
39851,52,8
39852,71,9
39853,63,18
39854,30,8
39855,52,6
39856,41,11
39857,83,23
39858,56,13
39859,61,16
39860,34,6
39861,59,20
39862,43,9
39863,27,8
39864,51,7
39865,19,6
39866,53,13
39867,86,15
39868,42,13
39869,29,8
39870,19,3
39871,22,2
39872,22,6
39873,75,14
39874,80,16
39875,61,10
39876,52,10
39877,75,15
39878,95,18
39879,46,10
39880,30,7
39881,96,18
39882,44,9
39883,87,22
39884,25,5
39885,56,9
39886,37,9
39887,91,13
39888,72,8
39889,48,10
39890,52,11
39891,49,9
39892,61,13
39893,21,4
39894,29,3
39895,75,12
39896,91,30
39897,50,9
39898,59,15
39899,14,3
39900,55,13
39901,35,7
39902,51,9
39903,13,3
39904,78,15
39905,67,10
39906,98,20
39907,15,3
39908,56,5
39909,83,22
39910,74,18
39911,74,8
39912,25,8
39913,90,21
39914,57,14
39915,62,16
39916,48,11
39917,27,4
39918,34,4
39919,72,9
39920,66,10
39921,17,2
39922,93,16
39923,100,15
39924,60,12
39925,33,6
39926,22,3
39927,94,21
39928,44,9
39929,74,12
39930,44,12
39931,59,18
39932,51,12
39933,60,10
39934,31,8
39935,81,17
39936,65,11
39937,35,10
39938,89,18
39939,69,12
39940,81,15
39941,28,5
39942,55,15
39943,99,24
39944,45,9
39945,57,12
39946,13,1
39947,38,9
39948,59,14
39949,64,11
39950,91,14
39951,35,11
39952,98,18
39953,21,5
39954,56,10
39955,39,10
39956,28,5
39957,43,7
39958,22,5
39959,84,21
39960,35,9
39961,13,0
39962,49,11
39963,74,11
39964,84,13
39965,84,22
39966,81,16
39967,77,17
39968,41,8
39969,69,13
39970,14,3
39971,22,5
39972,17,2
39973,19,6
39974,34,5
39975,45,9
39976,45,9
39977,48,6
39978,99,19
39979,36,9
39980,80,16
39981,41,7
39982,85,20
39983,67,11
39984,40,10
39985,42,8
39986,37,4
39987,26,4
39988,18,1
39989,48,7
39990,34,7
39991,95,19
39992,14,0
39993,64,12
39994,78,19
39995,86,16
39996,43,5
39997,76,16
39998,32,11
39999,82,13
40000,82,19
40001,81,19
40002,34,6
40003,93,18
40004,47,4
40005,85,18
40006,93,18
40007,33,4
40008,88,12
40009,12,2
40010,44,6
40011,14,4
40012,97,22
40013,37,8
40014,36,7
40015,32,5
40016,76,18
40017,65,13
40018,32,7
40019,78,18
40020,60,13
40021,38,8
40022,85,22
40023,96,15
40024,57,11
40025,30,8
40026,78,9
40027,40,10
40028,30,7
40029,52,10
40030,69,15
40031,14,5
40032,97,20
40033,93,15
40034,97,13
40035,26,2
40036,43,10
40037,14,4
40038,23,6
40039,46,6
40040,81,17
40041,88,13
40042,22,6
40043,11,1
40044,89,20
40045,58,8
40046,57,13
40047,86,14
40048,15,3
40049,99,19
40050,89,17
40051,78,10
40052,45,12
40053,65,14
40054,59,12
40055,34,6
40056,45,9
40057,91,15
40058,91,18
40059,64,14
40060,38,10
40061,94,20
40062,57,9
40063,75,16
40064,95,25
40065,28,6
40066,58,9
40067,82,13
40068,77,15
40069,86,14
40070,47,14
40071,99,20
40072,78,14
40073,85,13
